Número processo,Categoria,comarca,vara,juiz,Pena Base,Pena Definitiva,Circunstâncias Judiciais,Antecedentes,Pena-Base Minimo?,Agravantes/Atenuantes,Reincidência,Confissão Espontânea,Comparação Pena Provisória,Crime Tentado,Repouso Noturno,Conversão da Pena
1012709-51.2004.8.26.0506,Furto Simples,Ribeirão Preto,1ª Vara Criminal,CAROLINA MOREIRA GAMA,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1500004-33.2022.8.26.0279,Furto Simples,Itararé,2ª Vara,BRUNA MENDES FERREIRA,375,438,Sim,Maus antecedentes,Sim no mínimo,Sim,Múltiplas condenações,Sim,N/A,Sim,Não,Não convertida
1500005-73.2022.8.26.0099,Furto Simples,Bragança Paulista,2ª Vara Criminal,Laércio José Mendes Ferreira Filho,420,420,Sim,Maus antecedentes,Não no mínimo,Sim,Uma condenação,Sim,N/A,Não,Não,Não convertida
1500006-71.2022.8.26.0127,Furto Simples,Carapicuíba,2ª Vara Criminal,Dr(a). CAMILE DE LIMA E SILVA BONILHA,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1500007-36.2022.8.26.0263,Furto Simples,Itaí,Vara Única,AUGUSTO BRUNO MANDELLI,420,280,Não,Maus antecedentes,Não no mínimo,Sim,Múltiplas condenações,Sim,N/A,Sim,Não,Não convertida
1500008-23.2020.8.26.0576,Furto Simples,São José do Rio Preto,3ª Vara Criminal,Carolina Marchiori Bueno Cocenzo,436,495,Não,Maus antecedentes,Não no mínimo,Não,Uma condenação,Não,N/A,Não,Sim,Não convertida
1500011-95.2020.8.26.0634,Furto Simples,Tremembé,1ª Vara,Antonia Maria Prado de Melo,365,365,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Convertida
1500012-26.2021.8.26.0382,Furto Simples,Neves Paulista,Vara Única,MILENA REPIZO RODRIGUES,365,425,Não,Primário ou sem antecedentes,Sim no mínimo,Sim,Não,Sim,N/A,Não,Não,Convertida
1500012-60.2022.8.26.0618,Furto Simples,Caçapava,Vara Criminal,Gustavo de Campos Machado,425,425,Sim,Maus antecedentes,Não no mínimo,Não,Múltiplas condenações,Sim,Igual à base,Não,Não,Não convertida
1500015-02.2019.8.26.0430,Furto Simples,Paulo de Faria,Juizado Especial Cível e Criminal,LUAN CASAGRANDE,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
